timestamp,input_tokens,output_tokens,cost,model
2025-08-03 20:47:55.773839,552,863,0.0016016000000000001,gpt-4.1-mini
2025-08-04 18:32:32.013928,198,658,0.001132,gpt-4.1-mini
2025-08-04 19:22:48.298318,684,689,0.001376,gpt-4.1-mini
2025-08-04 19:24:46.591854,684,871,0.0016672000000000002,gpt-4.1-mini
2025-08-04 19:31:57.939452,714,1221,0.0022392000000000002,gpt-4.1-mini
2025-08-04 19:38:23.002328,714,787,0.0015448000000000003,gpt-4.1-mini
2025-08-04 19:42:35.846251,714,692,0.0013928,gpt-4.1-mini
2025-08-06 20:02:14.030805,714,1001,0.0018872,gpt-4.1-mini
2025-08-06 20:13:06.266948,714,877,0.0016888,gpt-4.1-mini
2025-08-06 20:16:58.681247,714,620,0.0012776,gpt-4.1-mini
2025-08-06 20:20:57.544215,714,710,0.0014216,gpt-4.1-mini
2025-08-06 20:25:56.011092,714,804,0.001572,gpt-4.1-mini
2025-08-06 20:27:59.460392,714,832,0.0016168,gpt-4.1-mini
